"PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"ILMN_1777190",-2.25577402700111,11.0512306641495,-17.0827165329925,1.51848254726553e-40,4.85196213920183e-38,81.5967131815853,"CFD","complement factor D"
"ILMN_1765076",-1.11509044468465,10.0079577147423,-17.0770057339505,1.57905268377189e-40,5.01163767889751e-38,81.5579046019503,"APPL2","adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2"
"ILMN_1784447",-1.36683140819636,8.61810149790206,-17.0686306649593,1.67228562067174e-40,5.27215913343778e-38,81.500985606361,"PLCE1","phospholipase C epsilon 1"
"ILMN_1790100",0.967313817933065,7.50788988679897,17.0286264052404,2.19962372612369e-40,6.88875536479401e-38,81.2290256475258,"DDIAS","DNA damage induced apoptosis suppressor"
"ILMN_2357438",1.30822738301821,8.79244294587113,17.0194083489027,2.34307430785435e-40,7.28973579068632e-38,81.1663397728619,"AURKA","aurora kinase A"
"ILMN_1707534",0.594632899435228,7.98217639646392,17.016442710121,2.39118936148912e-40,7.39080685652423e-38,81.1461709274478,"NKRF","NFKB repressing factor"
"ILMN_1752953",0.929037723594635,8.32754466401031,16.9998100836687,2.67997427634437e-40,8.22960932002113e-38,81.033041467667,"BCL2L12","BCL2 like 12"
"ILMN_1788347",-0.80868894760051,9.23915094089175,-16.978603675493,3.09940299506572e-40,9.45617855720374e-38,80.8887693936739,"CIPC","CLOCK interacting pacemaker"
"ILMN_1741054",1.19639205032811,8.72932546446392,16.9719763001536,3.24351562913809e-40,9.83242654499616e-38,80.8436742009347,"SLC5A6","solute carrier family 5 member 6"
"ILMN_1715636",0.819080291752254,9.73899706060825,16.9539233196066,3.67104795238481e-40,1.10575705521196e-37,80.7208164484496,"EIF3B","eukaryotic translation initiation factor 3 subunit B"
